Analysis timstamp:  2015-08-10_18.53
Simulation description:  Florida_trial2
Model run automation code version:  autodaycent.py
DDC version:  /nfs/paustian/nell/PEA_autodaycent/model/DDcentEVI
DDClis version:  /nfs/paustian/nell/PEA_autodaycent/model/DDClist100

soil,initial land use,scenario,herb.biomass.yield.avg (Mg/ha/y),wood.biomass.yield.avg (Mg/ha/y),grain.yield.avg (Mg/ha/y),d.SOM.avg (Mg-C/ha/y),N2O.avg (kg-N2O/ha/y),GHGs.avg (Mg CO2eq/ha/y)
L,graze,bioenergy,0.0,5.14,0.0,-0.0621,1.231,0.429
L,graze,BAU,0.0,0.0,0.0,0.1277,0.98,0.164
LS,graze,bioenergy,0.0,4.66,0.0,-0.1305,1.21,0.491
LS,graze,BAU,0.0,0.0,0.0,-0.0206,1.083,0.343
S,graze,bioenergy,0.0,3.7,0.0,-0.1145,1.149,0.457
S,graze,BAU,0.0,0.0,0.0,-0.0125,1.013,0.314
SL,graze,bioenergy,0.0,4.94,0.0,-0.1719,1.283,0.554
SL,graze,BAU,0.0,0.0,0.0,-0.0028,1.222,0.367
SiL,graze,bioenergy,0.0,6.54,0.0,-0.0977,1.465,0.534
SiL,graze,BAU,0.0,0.0,0.0,0.2497,1.074,0.07
L,till,bioenergy,0.0,3.88,0.0,0.0858,0.998,0.211
L,till,BAU,0.0,0.0,4.17,0.1955,2.312,0.494
LS,till,bioenergy,0.0,4.61,0.0,-0.1043,1.203,0.463
LS,till,BAU,0.0,0.0,4.02,-0.3941,2.749,1.213
S,till,bioenergy,0.0,3.72,0.0,-0.0989,1.157,0.444
S,till,BAU,0.0,0.0,3.67,-0.3656,2.686,1.166
SL,till,bioenergy,0.0,4.82,0.0,-0.1391,1.263,0.516
SL,till,BAU,0.0,0.0,4.31,-0.4331,2.879,1.291
SiL,till,bioenergy,0.0,4.72,0.0,0.0991,1.134,0.239
SiL,till,BAU,0.0,0.0,4.86,0.3433,2.561,0.42
