LandUse,SoilTexture,DistanceKM,hectares
Barren,sand,25,54.0
Cropland,loamy sand,25,82.3
Cropland,organic,25,18765.4
Cropland,sand,25,43735.4
Cropland,sandy loam,25,85.5
Developed,loamy sand,25,0.4
Developed,organic,25,556.1
Developed,sand,25,4501.7
Developed,sandy loam,25,9.3
Forest,organic,25,36.7
Forest,sand,25,1738.2
Forest,sandy loam,25,19.6
Pasture/grassland,loamy sand,25,97.7
Pasture/grassland,organic,25,831.8
Pasture/grassland,sand,25,30035.7
Pasture/grassland,sandy loam,25,211.1
Water/wetland,loamy sand,25,90.7
Water/wetland,organic,25,3325.4
Water/wetland,sand,25,21103.5
Water/wetland,sandy loam,25,461.9
Barren,loamy sand,50,8.0
Barren,organic,50,38.4
Barren,sand,50,247.3
Cropland,loamy sand,50,213.0
Cropland,organic,50,108284.2
Cropland,sand,50,71250.1
Cropland,sandy loam,50,317.9
Developed,loamy sand,50,35.9
Developed,organic,50,2094.1
Developed,sand,50,8327.3
Developed,sandy loam,50,299.3
Forest,loamy sand,50,3.2
Forest,organic,50,353.3
Forest,sand,50,11084.7
Forest,sandy loam,50,132.4
Pasture/grassland,loamy sand,50,1203.7
Pasture/grassland,organic,50,4647.8
Pasture/grassland,sand,50,144535.2
Pasture/grassland,sandy loam,50,1072.9
Water/wetland,loamy sand,50,368.0
Water/wetland,organic,50,22122.0
Water/wetland,sand,50,95709.4
Water/wetland,sandy loam,50,5348.7
Barren,loamy sand,75,1.1
Barren,organic,75,556.9
Barren,sand,75,1469.4
Barren,sandy loam,75,7.8
Cropland,loamy sand,75,3537.3
Cropland,organic,75,100944.4
Cropland,sand,75,124840.6
Cropland,sandy clay loam,75,2.7
Cropland,sandy loam,75,280.0
Developed,loamy sand,75,104.6
Developed,organic,75,1188.2
Developed,sand,75,55464.4
Developed,sandy loam,75,185.7
Forest,loamy sand,75,93.7
Forest,organic,75,296.8
Forest,sand,75,10316.0
Forest,sandy loam,75,43.6
Pasture/grassland,loamy sand,75,1915.1
Pasture/grassland,organic,75,10371.7
Pasture/grassland,sand,75,227550.3
Pasture/grassland,sandy clay loam,75,8.3
Pasture/grassland,sandy loam,75,776.5
Pasture/grassland,silt loam,75,16.2
Water/wetland,loamy sand,75,4028.1
Water/wetland,organic,75,84690.5
Water/wetland,sand,75,222913.3
Water/wetland,sandy clay loam,75,25.2
Water/wetland,sandy loam,75,5468.3
Water/wetland,silt loam,75,25.9
Barren,clay,100,1.3
Barren,loamy sand,100,54.1
Barren,organic,100,71.7
Barren,sand,100,3306.7
Barren,sandy loam,100,9.3
Cropland,clay,100,60.8
Cropland,loamy sand,100,12426.3
Cropland,organic,100,3592.9
Cropland,sand,100,121155.6
Cropland,sandy clay loam,100,10.9
Cropland,sandy loam,100,26.7
Developed,clay,100,97.7
Developed,loamy sand,100,1157.3
Developed,organic,100,6520.6
Developed,sand,100,242801.3
Developed,sandy clay loam,100,3.5
Developed,sandy loam,100,1596.5
Developed,silt loam,100,30.4
Forest,clay,100,7.6
Forest,loamy sand,100,33.4
Forest,organic,100,325.7
Forest,sand,100,12557.6
Forest,sandy loam,100,54.1
Pasture/grassland,clay,100,2.0
Pasture/grassland,loamy sand,100,1853.0
Pasture/grassland,organic,100,4402.5
Pasture/grassland,sand,100,197353.7
Pasture/grassland,sandy clay loam,100,78.8
Pasture/grassland,sandy loam,100,437.7
Water/wetland,clay,100,493.9
Water/wetland,loamy sand,100,6963.8
Water/wetland,organic,100,103513.8
Water/wetland,sand,100,317045.8
Water/wetland,sandy clay loam,100,161.5
Water/wetland,sandy loam,100,15141.9
Water/wetland,silt loam,100,1053.0
Barren,clay loam,125,3.4
Barren,loam,125,195.1
Barren,loamy sand,125,123.0
Barren,organic,125,285.7
Barren,sand,125,4621.1
Barren,sandy loam,125,4.2
Cropland,clay,125,18.8
Cropland,loam,125,0.7
Cropland,loamy sand,125,3373.2
Cropland,organic,125,5661.7
Cropland,sand,125,79993.0
Cropland,sandy loam,125,17.9
Developed,clay,125,5.9
Developed,clay loam,125,96.4
Developed,loam,125,952.6
Developed,loamy sand,125,639.0
Developed,organic,125,17147.4
Developed,sand,125,158933.9
Developed,sandy clay loam,125,17.8
Developed,sandy loam,125,938.6
Developed,silt loam,125,59.4
Developed,silty clay loam,125,305.0
Forest,clay loam,125,0.1
Forest,loam,125,13.9
Forest,loamy sand,125,100.7
Forest,organic,125,448.4
Forest,sand,125,16931.0
Forest,sandy clay loam,125,1.3
Forest,sandy loam,125,8.6
Pasture/grassland,clay,125,156.3
Pasture/grassland,clay loam,125,0.7
Pasture/grassland,loam,125,184.6
Pasture/grassland,loamy sand,125,2738.6
Pasture/grassland,organic,125,8681.7
Pasture/grassland,sand,125,198266.2
Pasture/grassland,sandy clay loam,125,151.9
Pasture/grassland,sandy loam,125,31.4
Water/wetland,clay,125,128.0
