point,BUFF_DIST,NLCD240,textcl,LandUse,area_ha
florida,25,31,sand,Barren,5.7600002
florida,25,82,sand,Crop,8213.901367
florida,25,21,sand,Developed,769.5881348
florida,25,22,sand,Developed,695.163208
florida,25,23,sand,Developed,101.5915527
florida,25,24,sand,Developed,51.8400002
florida,25,52,sand,Grass/Pasture,22.4232693
florida,25,71,sand,Grass/Pasture,53.066658
florida,25,81,sand,Grass/Pasture,1099.375366
florida,25,11,sand,Water,148.2184906
florida,25,90,sand,Wetland,391.1181641
florida,25,95,sand,Wetland,235.9608154
florida,25,82,sandy loam,Crop,6.7657628
florida,25,31,,Barren,45.5085526
florida,25,82,,Crop,138956.9219
florida,25,21,,Developed,1422.533691
florida,25,22,,Developed,1034.400879
florida,25,23,,Developed,213.7567444
florida,25,24,,Developed,126.4290314
florida,25,52,,Grass/Pasture,16.2695656
florida,25,71,,Grass/Pasture,248.5626678
florida,25,81,,Grass/Pasture,40.4548683
florida,25,11,,Water,35652.74609
florida,25,90,,Wetland,2309.028809
florida,25,95,,Wetland,3578.554688
florida,50,82,loamy sand,Crop,167.0926971
florida,50,21,loamy sand,Developed,1.5434684
florida,50,81,loamy sand,Grass/Pasture,95.3557892
florida,50,90,loamy sand,Wetland,53.7345695
florida,50,95,loamy sand,Wetland,1.6666433
florida,50,31,sand,Barren,793.1820679
florida,50,82,sand,Crop,76575.92188
florida,50,82,sand,Crop,0.0000019
florida,50,21,sand,Developed,13636.12109
florida,50,22,sand,Developed,5743.779785
florida,50,23,sand,Developed,617.2773438
florida,50,24,sand,Developed,102.9966736
florida,50,42,sand,Forest,38.331913
florida,50,52,sand,Grass/Pasture,523.1240234
florida,50,71,sand,Grass/Pasture,2228.439941
florida,50,81,sand,Grass/Pasture,40939.04688
florida,50,11,sand,Water,726.2529907
florida,50,90,sand,Wetland,63808.82813
florida,50,95,sand,Wetland,21601.87891
florida,50,31,sandy loam,Barren,4.894031
florida,50,82,sandy loam,Crop,200.9489136
florida,50,21,sandy loam,Developed,60.2078438
florida,50,22,sandy loam,Developed,16.9626255
florida,50,52,sandy loam,Grass/Pasture,25.4121952
florida,50,71,sandy loam,Grass/Pasture,8.7744293
florida,50,81,sandy loam,Grass/Pasture,843.0057983
florida,50,90,sandy loam,Wetland,2607.76709
florida,50,95,sandy loam,Wetland,752.9393311
florida,50,31,,Barren,634.5319214
florida,50,82,,Crop,76017.72656
florida,50,82,,Crop,0.0000019
florida,50,21,,Developed,1244.611328
florida,50,22,,Developed,951.3901367
florida,50,23,,Developed,215.3006897
florida,50,24,,Developed,56.3727531
florida,50,42,,Forest,1.6222904
florida,50,52,,Grass/Pasture,54.0296783
florida,50,71,,Grass/Pasture,675.2838745
florida,50,81,,Grass/Pasture,1615.892822
florida,50,11,,Water,91194.64844
florida,50,90,,Wetland,32762.70703
florida,50,95,,Wetland,145764.7656
florida,75,21,clay,Developed,10.6138887
florida,75,90,clay,Wetland,3.4535563
florida,75,31,loamy sand,Barren,22.1403675
florida,75,82,loamy sand,Crop,3748.959229
florida,75,21,loamy sand,Developed,173.6077728
florida,75,22,loamy sand,Developed,42.1546211
florida,75,23,loamy sand,Developed,22.5520344
florida,75,24,loamy sand,Developed,4.1184535
florida,75,42,loamy sand,Forest,46.2853775
florida,75,52,loamy sand,Grass/Pasture,58.52565
florida,75,71,loamy sand,Grass/Pasture,30.0710621
florida,75,81,loamy sand,Grass/Pasture,2880.512451
florida,75,11,loamy sand,Water,63.8249626
florida,75,90,loamy sand,Wetland,2265.855957
florida,75,95,loamy sand,Wetland,1047.691406
florida,75,31,sand,Barren,1590.083008
florida,75,82,sand,Crop,91351.0625
florida,75,21,sand,Developed,63662.82422
florida,75,22,sand,Developed,54782.20703
florida,75,23,sand,Developed,20580.89844
florida,75,24,sand,Developed,3315.816406
florida,75,42,sand,Forest,2190.70459
florida,75,52,sand,Grass/Pasture,27508.60156
florida,75,71,sand,Grass/Pasture,3031.693115
florida,75,81,sand,Grass/Pasture,138361.2188
florida,75,11,sand,Water,2925.240967
florida,75,90,sand,Wetland,156104.5469
florida,75,95,sand,Wetland,45436.80469
florida,75,82,sandy loam,Crop,980.736084
florida,75,21,sandy loam,Developed,438.0370789
florida,75,22,sandy loam,Developed,184.6884613
florida,75,23,sandy loam,Developed,98.7974014
florida,75,24,sandy loam,Developed,47.9801025
