point,BUFF_DIST,NLCD240,textcl,LandUse,area_ha
louisiana,25,11,clay,Water,294.2461243
louisiana,25,21,clay,Developed,0.0004016
louisiana,25,21,clay,Developed,291.4121704
louisiana,25,22,clay,Developed,0.0000672
louisiana,25,22,clay,Developed,330.9333801
louisiana,25,23,clay,Developed,2.0889628
louisiana,25,42,clay,Forest,3.4800637
louisiana,25,52,clay,Grass/Pasture,145.4482422
louisiana,25,71,clay,Grass/Pasture,50.8489723
louisiana,25,81,clay,Grass/Pasture,0.0008795
louisiana,25,81,clay,Grass/Pasture,2495.720459
louisiana,25,82,clay,Crop,0.0052582
louisiana,25,82,clay,Crop,12483.55469
louisiana,25,90,clay,Wetland,0.0058276
louisiana,25,90,clay,Wetland,18089.99023
louisiana,25,95,clay,Wetland,404.130188
louisiana,25,90,sandy loam,Wetland,0.0002256
louisiana,25,90,sandy loam,Wetland,2.0862935
louisiana,25,21,silt,Developed,208.7286987
louisiana,25,22,silt,Developed,749.0524902
louisiana,25,23,silt,Developed,17.9818554
louisiana,25,24,silt,Developed,28.8947315
louisiana,25,52,silt,Grass/Pasture,109.8869553
louisiana,25,71,silt,Grass/Pasture,20.3753223
louisiana,25,81,silt,Grass/Pasture,3268.019043
louisiana,25,82,silt,Crop,7722.995606
louisiana,25,90,silt,Wetland,428.7688599
louisiana,25,11,silt loam,Water,433.1436157
louisiana,25,21,silt loam,Developed,0.0008241
louisiana,25,21,silt loam,Developed,2501.374268
louisiana,25,22,silt loam,Developed,0.0026803
louisiana,25,22,silt loam,Developed,5838.729981
louisiana,25,23,silt loam,Developed,0.0003049
louisiana,25,23,silt loam,Developed,120.9421005
louisiana,25,24,silt loam,Developed,154.8542938
louisiana,25,31,silt loam,Barren,17.2799988
louisiana,25,41,silt loam,Forest,5.7599993
louisiana,25,42,silt loam,Forest,0.0005402
louisiana,25,42,silt loam,Forest,266.1992188
louisiana,25,52,silt loam,Grass/Pasture,0.0002728
louisiana,25,52,silt loam,Grass/Pasture,743.6448364
louisiana,25,71,silt loam,Grass/Pasture,100.6130905
louisiana,25,81,silt loam,Grass/Pasture,0.0068242
louisiana,25,81,silt loam,Grass/Pasture,33479.37109
louisiana,25,82,silt loam,Crop,0.0124291
louisiana,25,82,silt loam,Crop,65998.22656
louisiana,25,90,silt loam,Wetland,0.0039629
louisiana,25,90,silt loam,Wetland,14486.38184
louisiana,25,95,silt loam,Wetland,50.7726288
louisiana,25,21,silty clay,Developed,2.109653
louisiana,25,52,silty clay,Grass/Pasture,4.4082723
louisiana,25,81,silty clay,Grass/Pasture,230.359314
louisiana,25,82,silty clay,Crop,423.3086243
louisiana,25,90,silty clay,Wetland,237.8957214
louisiana,25,11,silty clay loam,Water,0.0000163
louisiana,25,11,silty clay loam,Water,111.6870193
louisiana,25,21,silty clay loam,Developed,0.0000498
louisiana,25,21,silty clay loam,Developed,182.1527557
louisiana,25,22,silty clay loam,Developed,0.0000939
louisiana,25,22,silty clay loam,Developed,321.9117737
louisiana,25,23,silty clay loam,Developed,7.761939
louisiana,25,52,silty clay loam,Grass/Pasture,102.0546341
louisiana,25,71,silty clay loam,Grass/Pasture,24.1525345
louisiana,25,81,silty clay loam,Grass/Pasture,0.0003956
louisiana,25,81,silty clay loam,Grass/Pasture,3189.51294
louisiana,25,82,silty clay loam,Crop,0.0014031
louisiana,25,82,silty clay loam,Crop,11955.25391
louisiana,25,90,silty clay loam,Wetland,0.0008276
louisiana,25,90,silty clay loam,Wetland,6336.979981
louisiana,25,95,silty clay loam,Wetland,30.2588596
louisiana,25,11,,Water,0.0000761
louisiana,25,11,,Water,410.3863525
louisiana,25,21,,Developed,139.7460632
louisiana,25,22,,Developed,72.7177887
louisiana,25,23,,Developed,1.0375714
louisiana,25,42,,Forest,0.3724061
louisiana,25,52,,Grass/Pasture,7.6472573
louisiana,25,71,,Grass/Pasture,12.3217926
louisiana,25,81,,Grass/Pasture,127.6566772
louisiana,25,82,,Crop,0.0006806
louisiana,25,82,,Crop,435.4932251
louisiana,25,90,,Wetland,0.0005585
louisiana,25,90,,Wetland,542.7113647
louisiana,25,95,,Wetland,41.6605606
louisiana,50,11,clay,Water,796.0531006
louisiana,50,21,clay,Developed,0.0006165
louisiana,50,21,clay,Developed,782.2843018
louisiana,50,22,clay,Developed,0.0004002
louisiana,50,22,clay,Developed,801.0449219
louisiana,50,22,clay,Developed,0.0000017
louisiana,50,23,clay,Developed,8.2963781
louisiana,50,24,clay,Developed,0.0000988
louisiana,50,24,clay,Developed,9.5378952
louisiana,50,41,clay,Forest,0.000409
louisiana,50,41,clay,Forest,2.3991177
louisiana,50,52,clay,Grass/Pasture,177.2820892
louisiana,50,71,clay,Grass/Pasture,0.00036
louisiana,50,71,clay,Grass/Pasture,393.6585693
louisiana,50,71,clay,Grass/Pasture,0.0000536
louisiana,50,81,clay,Grass/Pasture,0.0090698
louisiana,50,81,clay,Grass/Pasture,9126.116211
louisiana,50,81,clay,Grass/Pasture,0.0007096
louisiana,50,82,clay,Crop,0.0161992
louisiana,50,82,clay,Crop,30971.17969
louisiana,50,82,clay,Crop,0.0013269
louisiana,50,90,clay,Wetland,0.0294559
louisiana,50,90,clay,Wetland,94071.76563
louisiana,50,90,clay,Wetland,0.0043563
louisiana,50,95,clay,Wetland,1427.915405
louisiana,50,90,sand,Wetland,24.3142338
louisiana,50,11,sandy loam,Water,0.0005667
louisiana,50,11,sandy loam,Water,168.4521637
louisiana,50,21,sandy loam,Developed,409.1407166
louisiana,50,22,sandy loam,Developed,0.0000711
louisiana,50,22,sandy loam,Developed,396.3587036
louisiana,50,23,sandy loam,Developed,15.8615284
louisiana,50,24,sandy loam,Developed,14.7370853
louisiana,50,31,sandy loam,Barren,3.6704791
louisiana,50,42,sandy loam,Forest,0.0021627
louisiana,50,42,sandy loam,Forest,310.1393127
louisiana,50,43,sandy loam,Forest,0.0008324
louisiana,50,43,sandy loam,Forest,64.5820313
louisiana,50,52,sandy loam,Grass/Pasture,0.0008176
louisiana,50,52,sandy loam,Grass/Pasture,124.3729248
louisiana,50,71,sandy loam,Grass/Pasture,146.4273376
louisiana,50,81,sandy loam,Grass/Pasture,0.0003518
louisiana,50,81,sandy loam,Grass/Pasture,1862.467651
louisiana,50,82,sandy loam,Crop,0.0026861
louisiana,50,82,sandy loam,Crop,3385.487793
louisiana,50,90,sandy loam,Wetland,0.0051148
louisiana,50,90,sandy loam,Wetland,5323.344727
louisiana,50,95,sandy loam,Wetland,85.4700012
louisiana,50,11,silt,Water,1.0696586
louisiana,50,21,silt,Developed,47.3446579
louisiana,50,22,silt,Developed,627.46698
louisiana,50,22,silt,Developed,0.0000691
louisiana,50,23,silt,Developed,22.8507576
louisiana,50,52,silt,Grass/Pasture,18.3542004
louisiana,50,71,silt,Grass/Pasture,3.6944177
louisiana,50,81,silt,Grass/Pasture,1331.929077
louisiana,50,81,silt,Grass/Pasture,0.0009614
louisiana,50,82,silt,Crop,2722.843018
louisiana,50,82,silt,Crop,0.0033111
louisiana,50,90,silt,Wetland,104.1964493
louisiana,50,90,silt,Wetland,0.0009416
louisiana,50,11,silt loam,Water,0.0014696
louisiana,50,11,silt loam,Water,1697.827881
louisiana,50,21,silt loam,Developed,0.0018025
louisiana,50,21,silt loam,Developed,7806.833496
louisiana,50,21,silt loam,Developed,0.0008418
louisiana,50,22,silt loam,Developed,0.0018442
louisiana,50,22,silt loam,Developed,26631.88086
louisiana,50,22,silt loam,Developed,0.0014594
louisiana,50,23,silt loam,Developed,1621.154541
louisiana,50,24,silt loam,Developed,1098.202026
louisiana,50,31,silt loam,Barren,66.7971344
louisiana,50,41,silt loam,Forest,90.6238327
louisiana,50,42,silt loam,Forest,0.0206927
louisiana,50,42,silt loam,Forest,8113.058594
louisiana,50,43,silt loam,Forest,0.0024173
louisiana,50,43,silt loam,Forest,762.6783447
louisiana,50,52,silt loam,Grass/Pasture,0.0119642
louisiana,50,52,silt loam,Grass/Pasture,4571.137695
louisiana,50,52,silt loam,Grass/Pasture,0.0003179
louisiana,50,71,silt loam,Grass/Pasture,0.0063398
louisiana,50,71,silt loam,Grass/Pasture,2327.090088
louisiana,50,71,silt loam,Grass/Pasture,0.0000616
louisiana,50,81,silt loam,Grass/Pasture,0.008394
louisiana,50,81,silt loam,Grass/Pasture,53772.5625
louisiana,50,81,silt loam,Grass/Pasture,0.0110367
louisiana,50,82,silt loam,Crop,0.0291377
louisiana,50,82,silt loam,Crop,162069.8906
louisiana,50,82,silt loam,Crop,0.0133005
louisiana,50,90,silt loam,Wetland,0.0260732
louisiana,50,90,silt loam,Wetland,85008.07031
louisiana,50,90,silt loam,Wetland,0.0037034
louisiana,50,90,silt loam,Wetland,0.0000001
louisiana,50,95,silt loam,Wetland,0.0012096
louisiana,50,95,silt loam,Wetland,449.0075378
louisiana,50,11,silty clay,Water,54.1215897
louisiana,50,21,silty clay,Developed,168.9459686
louisiana,50,22,silty clay,Developed,285.6889038
louisiana,50,23,silty clay,Developed,25.2118931
louisiana,50,24,silty clay,Developed,14.4831839
louisiana,50,43,silty clay,Forest,5.7600017
louisiana,50,52,silty clay,Grass/Pasture,99.6580734
louisiana,50,81,silty clay,Grass/Pasture,1665.369141
louisiana,50,81,silty clay,Grass/Pasture,0.000321
louisiana,50,82,silty clay,Crop,5771.548828
louisiana,50,82,silty clay,Crop,0.0014968
louisiana,50,90,silty clay,Wetland,7330.318359
louisiana,50,90,silty clay,Wetland,0.0004475
louisiana,50,95,silty clay,Wetland,91.5521469
louisiana,50,11,silty clay loam,Water,228.8023529
louisiana,50,11,silty clay loam,Water,0.0000189
louisiana,50,21,silty clay loam,Developed,574.5814209
louisiana,50,21,silty clay loam,Developed,0.0000682
louisiana,50,22,silty clay loam,Developed,0.0000862
louisiana,50,22,silty clay loam,Developed,1302.218262
louisiana,50,23,silty clay loam,Developed,28.4204922
louisiana,50,24,silty clay loam,Developed,24.8225994
louisiana,50,31,silty clay loam,Barren,1.7242717
louisiana,50,41,silty clay loam,Forest,0.0002932
louisiana,50,41,silty clay loam,Forest,11.9808397
louisiana,50,42,silty clay loam,Forest,13.115963
louisiana,50,52,silty clay loam,Grass/Pasture,137.7494354
louisiana,50,71,silty clay loam,Grass/Pasture,0.0004513
louisiana,50,71,silty clay loam,Grass/Pasture,107.04702
louisiana,50,81,silty clay loam,Grass/Pasture,0.0046694
louisiana,50,81,silty clay loam,Grass/Pasture,7083.930664
louisiana,50,81,silty clay loam,Grass/Pasture,0.001855
